server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x100,100,good,25000,0.05,0,0.0,0.0009821866251403313,0.02653976913960742
x100,100,good,25000,0.05,0,0.0,0.0010155517516047341,0.0247849347027867
x100,100,good,25000,0.05,0,0.0,0.0010184292503001117,0.027313157639038334
x100,100,good,25000,0.05,0,0.0,0.0010147476018948893,0.02522309579394961
x100,100,good,25000,0.05,0,0.0,0.0010287693838820756,0.025900526385657423
x100,100,good,25000,0.05,0,0.0,0.0010070884335434945,0.02614018906711263
x100,100,good,25000,0.05,0,0.0,0.0010064242147721676,0.027155733821126488
x100,100,good,25000,0.05,0,0.0,0.001004605072194762,0.02420794377284488
x100,100,good,25000,0.05,0,0.0,0.0009945065850981163,0.02323674654496754
x100,100,good,25000,0.05,0,0.0,0.0010323243538083349,0.025626431782577945
x100,100,good,25000,0.05,0,0.0,0.0009530793324638127,0.026010374591449538
x10,10,good,25000,0.05,0,0.0,0.009881921140697969,0.025675517656498267
x10,10,good,25000,0.05,0,0.0,0.010004231957504078,0.023938556224018692
x10,10,good,25000,0.05,0,0.0,0.00992318208305099,0.024717147982227093
x10,10,good,25000,0.05,0,0.0,0.010063134046038218,0.02600195774840741
x10,10,good,25000,0.05,0,0.0,0.009888057423057756,0.02318827793106866
x10,10,good,25000,0.05,0,0.0,0.010440376638870118,0.025754627999138663
x10,10,good,25000,0.05,0,0.0,0.01021553507873741,0.025699551206081785
x10,10,good,25000,0.05,0,0.0,0.009948846418344188,0.026577451172350143
x10,10,good,25000,0.05,0,0.0,0.010066385157137965,0.023995905336112386
x10,10,good,25000,0.05,0,0.0,0.01008200084332854,0.023671815976341944
x10,10,good,25000,0.05,0,0.0,0.01001015541789668,0.02523364624150118
x10,10,good,25000,0.05,0,0.0,0.01017520938181352,0.025697609934558642
x10,10,good,25000,0.05,0,0.0,0.009941497812990434,0.025960385263902742
x10,10,good,25000,0.05,0,0.0,0.009953586378165964,0.02656832056060173
x10,10,good,25000,0.05,0,0.0,0.009796777638432636,0.024236954890885343
x100,100,good,25000,0.05,0,0.0,0.0010061662146526125,0.024545635291597603
x100,100,good,25000,0.05,0,0.0,0.0010225469135030283,0.023440020628750675
