server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x25,25,good,25000,0.05,0,0.0,0.0038449682038726916,0.024225083228596435
x25,25,good,25000,0.05,0,0.0,0.003986761771877993,0.02580117045924616
x2,2,good,25000,0.05,15,0.034551424121206896,0.03398305973226766,0.00499408812603774
x50,50,good,25000,0.05,0,0.0,0.0020938847889437934,0.02591893165647352
x25,25,good,25000,0.05,0,0.0,0.004082408622358599,0.02390375941383257
x2,2,good,25000,0.05,15,0.03257911688794502,0.03332323899091279,0.004691645434855797
x1,1,good,25000,0.05,58,0.0973577720024056,0.0,0.002015979959204005
x5,5,good,25000,0.05,0,0.0,0.02027223143652499,0.0266569125935626
x1,1,good,25000,0.05,58,0.09824795385106301,0.0,0.002013805351893593
x50,50,good,25000,0.05,0,0.0,0.00197722672384303,0.023724655512419326
x2,2,good,25000,0.05,15,0.03358872214310425,0.031124315770195393,0.004781093479571712
x1,1,good,25000,0.05,57,0.10042795721117267,0.0013649171879007024,0.0021700051628491886
x5,5,good,25000,0.05,0,0.0,0.020446895701286397,0.026428746605918242
x10,10,good,25000,0.05,0,0.0,0.010258406887562854,0.02471659679728557
x100,100,good,25000,0.05,0,0.0,0.00098343571326119,0.025786027746335226
x50,50,good,25000,0.05,0,0.0,0.0020649145884684733,0.022901107440029003
x1,1,good,25000,0.05,58,0.10418882878422692,0.0,0.0020149733091620386
x50,50,good,25000,0.05,0,0.0,0.0020460086943131194,0.025279585637011895
x5,5,good,25000,0.05,0,0.0,0.019954760237072582,0.02529708612544998
x25,25,good,25000,0.05,0,0.0,0.003856423727687838,0.026362230784962172
x1,1,good,25000,0.05,33,0.06565733947931135,0.03812134079832381,0.0033200010001152697
x50,50,good,25000,0.05,0,0.0,0.0019345354823213786,0.02516407893647954
x100,100,good,25000,0.05,0,0.0,0.000993384853278946,0.024871867441912353
x5,5,good,25000,0.05,0,0.0,0.020196171340033976,0.023960469995658
x100,100,good,25000,0.05,0,0.0,0.0009790121033324028,0.025065164667854814
x2,2,good,25000,0.05,0,0.0,0.05159322753641608,0.023431858755512777
x5,5,good,25000,0.05,0,0.0,0.019767360529320207,0.024600261649736797
x100,100,good,25000,0.05,0,0.0,0.0010124103563065874,0.023900236574182138
x5,5,good,25000,0.05,0,0.0,0.020295177233620294,0.026015273995653468
x50,50,good,25000,0.05,0,0.0,0.001968457730482057,0.025054148324768273
x100,100,good,25000,0.05,0,0.0,0.0010302496753189694,0.024566961272163762
x5,5,good,25000,0.05,0,0.0,0.019311039331494376,0.025450895276036167
x50,50,good,25000,0.05,0,0.0,0.001988414308428415,0.02685522237555319
x100,100,good,25000,0.05,0,0.0,0.0010293632212089732,0.025891548683737824
x100,100,good,25000,0.05,0,0.0,0.0009957120146101607,0.02348992720917182
x100,100,good,25000,0.05,0,0.0,0.0010138142215901748,0.025757398922039362
x25,25,good,25000,0.05,0,0.0,0.00397522724252256,0.025298144945267817
x2,2,good,25000,0.05,15,0.036496026401440486,0.02993688868247099,0.004987921380772252
x25,25,good,25000,0.05,0,0.0,0.00401178410907968,0.025958416018376576
x50,50,good,25000,0.05,0,0.0,0.0019423222198292416,0.024567233876753462
x100,100,good,25000,0.05,0,0.0,0.000994838793012695,0.026544376738976173
x100,100,good,25000,0.05,0,0.0,0.0009561121302395988,0.023660286980487305
x10,10,good,25000,0.05,0,0.0,0.00988147499684927,0.023557581665520945
x100,100,good,25000,0.05,0,0.0,0.001051863851497622,0.023797976481677113
x2,2,good,25000,0.05,15,0.037465606435195475,0.03157053085567106,0.004748997965286415
x10,10,good,25000,0.05,0,0.0,0.010236592809064143,0.02384086021531228
x100,100,good,25000,0.05,0,0.0,0.0009936599145026308,0.024336493920889483
x2,2,good,25000,0.05,15,0.03823717337962701,0.03320672574957328,0.004757970979295264
x1,1,good,25000,0.05,57,0.0999660047158465,0.0010585658411997579,0.0021893968727689133
x50,50,good,25000,0.05,0,0.0,0.0020728914752146024,0.02377263243841836
x50,50,good,25000,0.05,0,0.0,0.001965378871437191,0.02554431894478027
x5,5,good,25000,0.05,0,0.0,0.020878927787211406,0.02437857822663958
x2,2,good,25000,0.05,15,0.03529224603210476,0.033089319703023666,0.004774731456916934
x5,5,good,25000,0.05,0,0.0,0.01978314416662779,0.023662709067459715
x100,100,good,25000,0.05,0,0.0,0.0009743598161689116,0.024834585578015413
x100,100,good,25000,0.05,0,0.0,0.001004383186693594,0.023937701350780105
x2,2,good,25000,0.05,15,0.034149316056428604,0.03258418860818935,0.004996157504526965
x2,2,good,25000,0.05,15,0.0365668439780052,0.03224355019795441,0.004720168792755055
x10,10,good,25000,0.05,0,0.0,0.009641192246219302,0.025604942459853043
x2,2,good,25000,0.05,15,0.03647190442058376,0.030389521602384346,0.004919781546175696
x50,50,good,25000,0.05,0,0.0,0.0020147001511020795,0.021735403902176632
x1,1,good,25000,0.05,15,0.03775185613970035,0.06438724822269695,0.004872829958647856
x100,100,good,25000,0.05,0,0.0,0.0010073623445070305,0.02528491080190747
x50,50,good,25000,0.05,0,0.0,0.002067921472744435,0.02600098544985943
x100,100,good,25000,0.05,0,0.0,0.0010279559662061477,0.026304195313745775
x5,5,good,25000,0.05,0,0.0,0.021332480585459904,0.024357857925500888
x5,5,good,25000,0.05,0,0.0,0.0196949594314515,0.02500891502701765
x2,2,good,25000,0.05,15,0.03702614425808874,0.032293934573651734,0.004812963057312561
x25,25,good,25000,0.05,0,0.0,0.004126071954723528,0.025036291643777193
x25,25,good,25000,0.05,0,0.0,0.003957403841868403,0.02536994045962699
x1,1,good,25000,0.05,33,0.06320375280106937,0.035238475283982745,0.0035244236753409746
x1,1,good,25000,0.05,58,0.1016047664001463,0.0,0.0020157097876296612
x50,50,good,25000,0.05,0,0.0,0.0020658194976578524,0.02424002312784146
x10,10,good,25000,0.05,0,0.0,0.00990978917144034,0.024928924908404516
x100,100,good,25000,0.05,0,0.0,0.000987051218643343,0.024832321155679557
